file,caller,function,call_id,static,type,parameter,key,value
0x3919efef96113f91,vgacon_cursor,vgacon_set_cursor_size,60,1,0,-1,,"void(*)(int, int, int)"
0x3919efef96113f91,vgacon_cursor,vgacon_set_cursor_size,60,1,1001,1,$,31
0x3919efef96113f91,vgacon_cursor,vgacon_set_cursor_size,60,1,1001,2,$,30
0x3919efef96113f91,vgacon_cursor,vgacon_set_cursor_size,61,1,0,-1,,"void(*)(int, int, int)"
0x3919efef96113f91,vgacon_cursor,vgacon_set_cursor_size,61,1,1001,1,$,31
0x3919efef96113f91,vgacon_cursor,vgacon_set_cursor_size,61,1,1001,2,$,31
0x3919efef96113f91,vgacon_cursor,write_vga,62,1,0,-1,,"void(*)(uchar, uint)"
0x3919efef96113f91,vgacon_cursor,write_vga,62,1,1001,0,$,14
0x3919efef96113f91,vgacon_cursor,vgacon_set_cursor_size,63,1,0,-1,,"void(*)(int, int, int)"
0x3919efef96113f91,vgacon_cursor,vgacon_set_cursor_size,63,1,8040,1,$,unit_pixel
0x3919efef96113f91,vgacon_cursor,vgacon_set_cursor_size,63,1,8040,2,$,unit_pixel
